word	Stance_favor	Stance_against
ko	-4.948276455252199e-07	-1.7789814066304643e-08
bulaya	-5.559693818213418e-05	-1.3215791128118326e-08
jata	1.2219726386319962e-07	1.4870103370867582e-08
bivajan	-1.6679791855572995e-15	-8.874963067146793e-18
ka,	-3.7759348124892685e-15	-7.849565164407683e-18
dharm	-4.396654955797323e-15	-2.1045383916202796e-17
ka,	-5.390327093913235e-15	-3.7581425810297265e-17
sriram	-3.6093098792371915e-15	-4.289172020209579e-17
ka,	-8.663471280428645e-14	-6.411840887368041e-17
achhe	-1.9325368399731452e-13	-1.6350304509420545e-15
din	-3.216206123581207e-14	-1.0013996726332723e-16
ka,	-5.81750088640004e-14	-4.542158593114022e-16
lakh	-7.190752713322895e-14	-4.748455585000175e-16
ka,	-1.2761636907811236e-13	-4.870467504678605e-16
gomata	-3.07466309357185e-11	-4.246897413140395e-15
ka,	-6.588389772979597e-13	-2.2964354925308645e-16
padmasri	-2.8965591318715067e-13	-8.205441623508494e-16
ka,	-6.543228198846451e-12	-2.962160772727586e-16
rastrvakti	-9.727504243187308e-15	-6.149907115367918e-18
ka,	-5.158998770717071e-13	-2.0896525154912244e-16
kaledhan	1.6676970177067455e-15	4.8985718593451554e-18
per	2.1706108657986063e-16	4.120804948634514e-18
notebandi	-5.456002403342319e-13	-4.016547848690882e-17
ka	1.8605531849067488e-15	5.110670894571102e-18
nasha	-1.4160753986921333e-15	1.1340476626076436e-18
pila	-2.307605332946966e-13	-2.5161316357439067e-18
ke	-1.975830387973207e-13	-5.556642013106617e-16
?	-3.6477995645801953e-13	-2.1457264947049443e-13
jai	9.369850158691406e-05	-5.90175659453962e-08
hind	1.1444091796875e-05	-9.934908451469937e-10
sir	1.1920928955078125e-06	-3.309955087793526e-11
apke	1.5497207641601562e-06	-6.069343638781532e-11
notebandi	1.4424324035644531e-05	-1.200316401828161e-09
saraahneeye	-1.1920928955078125e-07	-4.4908795432396786e-11
kadam	1.1920928955078125e-06	-9.92981738501264e-14
se	-1.1920928955078125e-07	-1.0031130440180114e-11
